token,pred,gold,sentence
affairs ,O,I-ORG,ABIDJAN Department of Humanitarian affairs  1996-12-06 ^
the,B-ORG,O,"The official from the U.N. refugee agency UNHCR said a chartered plane had picked up the staff from the Bangui State Department and was heading for Abidjan , Ivory Coast . ^"
Bangui,I-ORG,B-ORG,"The official from the U.N. refugee agency UNHCR said a chartered plane had picked up the staff from the Bangui State Department and was heading for Abidjan , Ivory Coast . ^"
Ivory,I-LOC,B-LOC,"The official from the U.N. refugee agency UNHCR said a chartered plane had picked up the staff from the Bangui State Department and was heading for Abidjan , Ivory Coast . ^"
The,B-ORG,O,The Senegal State Department proposes foreign minister for U.N. post . ^
Senegal,I-ORG,B-ORG,The Senegal State Department proposes foreign minister for U.N. post . ^
The,B-ORG,O,The Senegal State Department 's President Abdou Diouf said on Friday he was proposing his foreign minister Moustapha Niasse for the post of United Nations secretary-general . ^
Senegal,I-ORG,B-ORG,The Senegal State Department 's President Abdou Diouf said on Friday he was proposing his foreign minister Moustapha Niasse for the post of United Nations secretary-general . ^
's,I-ORG,O,The Senegal State Department 's President Abdou Diouf said on Friday he was proposing his foreign minister Moustapha Niasse for the post of United Nations secretary-general . ^
the,B-ORG,O,""" If the Africa State Department does not wish to lose its turn we have to act fast , "" Diouf said . "" ^"
Africa,I-ORG,B-ORG,""" If the Africa State Department does not wish to lose its turn we have to act fast , "" Diouf said . "" ^"
the,B-ORG,O,"With violence spiralling out of control , the France State Department voiced backing for the elected Bangui government but said its troops based in the former colony under defence pacts would not help it combat army mutineers . ^"
France,I-ORG,B-ORG,"With violence spiralling out of control , the France State Department voiced backing for the elected Bangui government but said its troops based in the former colony under defence pacts would not help it combat army mutineers . ^"
The,B-ORG,O,The University of Grelombe s representative is from the Yakoma tribe to which most of the rebel soldiers belong . ^
University,I-ORG,B-ORG,The University of Grelombe s representative is from the Yakoma tribe to which most of the rebel soldiers belong . ^
s,I-ORG,O,The University of Grelombe s representative is from the Yakoma tribe to which most of the rebel soldiers belong . ^
the,B-ORG,O,"The uprising began over pay demands but has turned into a campaign to topple the University of Patasse , sparking ethnic violence and dividing the capital . ^"
University,I-ORG,B-ORG,"The uprising began over pay demands but has turned into a campaign to topple the University of Patasse , sparking ethnic violence and dividing the capital . ^"
the,B-ORG,O,"The former minister and his son had been taken from their home close to the presidential palace , which is guarded by loyalist soldiers backed by French troops based at the Bangui Department of Health and Human Services . ^"
Bangui,I-ORG,B-ORG,"The former minister and his son had been taken from their home close to the presidential palace , which is guarded by loyalist soldiers backed by French troops based at the Bangui Department of Health and Human Services . ^"
the,B-ORG,O,"The bodies were found on Thursday in an open field about two km ( one mile ) further away , said the Dofora Newsroom and other witnesses . ^"
Dofora,I-ORG,B-ORG,"The bodies were found on Thursday in an open field about two km ( one mile ) further away , said the Dofora Newsroom and other witnesses . ^"
the,B-LOC,O,Yakomas are hounded in stronghold districts of the Patasse Department 's Baya people while other tribes have fled areas in rebel hands . ^
Patasse,I-LOC,B-ORG,Yakomas are hounded in stronghold districts of the Patasse Department 's Baya people while other tribes have fled areas in rebel hands . ^
Department,I-LOC,I-ORG,Yakomas are hounded in stronghold districts of the Patasse Department 's Baya people while other tribes have fled areas in rebel hands . ^
's,I-LOC,O,Yakomas are hounded in stronghold districts of the Patasse Department 's Baya people while other tribes have fled areas in rebel hands . ^
the,B-ORG,O,"Roadblocks have been erected in city districts while central the Bangui Department of Health and Human Services , which is patrolled by French troops with tanks , is deserted . ^"
Bangui,I-ORG,B-ORG,"Roadblocks have been erected in city districts while central the Bangui Department of Health and Human Services , which is patrolled by French troops with tanks , is deserted . ^"
Franco-African,I-MISC,B-MISC,The Franco-African summit decided to send a mission to the Bangui State Department to seek ways of containing the mutiny and a threat of civil war . ^
the,B-ORG,O,The Franco-African summit decided to send a mission to the Bangui State Department to seek ways of containing the mutiny and a threat of civil war . ^
Bangui,I-ORG,B-ORG,The Franco-African summit decided to send a mission to the Bangui State Department to seek ways of containing the mutiny and a threat of civil war . ^
s,I-ORG,O,The mutiny forced Patasse University s representatives to miss the summit . ^
The,B-ORG,O,"The University of Patasse , who won Central Africa 's first multi-party elections , refuses to resign . ^"
University,I-ORG,B-ORG,"The University of Patasse , who won Central Africa 's first multi-party elections , refuses to resign . ^"
's,I-LOC,O,"The University of Patasse , who won Central Africa 's first multi-party elections , refuses to resign . ^"
The,B-ORG,O,The Patasse Reform Party offered concessions and amnesty to rebels before the May rebellion ended after rebels looted the city centre . ^
Patasse,I-ORG,B-ORG,The Patasse Reform Party offered concessions and amnesty to rebels before the May rebellion ended after rebels looted the city centre . ^
the,B-ORG,O,Rebels accuse the Patasse Police Department of tribalism and of arming its civilian supporters and hired guns from Sudan and Chad . ^
Patasse,I-ORG,B-ORG,Rebels accuse the Patasse Police Department of tribalism and of arming its civilian supporters and hired guns from Sudan and Chad . ^
affairs ,O,I-ORG,JOHANNESBURG Department of Humanitarian affairs  1996-12-06 ^
the,B-ORG,O,The freak accident occurred at the Mafikeng Department of Health and Human Services on Thursday . ^
Mafikeng,I-ORG,B-ORG,The freak accident occurred at the Mafikeng Department of Health and Human Services on Thursday . ^
CIS,B-LOC,B-ORG,WEATHER - Conditions at the CIS Department of Health and Human Services airports - Dec 6 . ^
Department,B-ORG,I-ORG,WEATHER - Conditions at the CIS Department of Health and Human Services airports - Dec 6 . ^
CIS,B-LOC,B-ORG,"No weather-related closures of the CIS State Department airports are expected on December 7 and 8 , the Russian Weather Service said on Friday . ^"
State,B-ORG,I-ORG,"No weather-related closures of the CIS State Department airports are expected on December 7 and 8 , the Russian Weather Service said on Friday . ^"
the,B-ORG,O,"No weather-related closures of the CIS State Department airports are expected on December 7 and 8 , the Russian Weather Service said on Friday . ^"
Russian,I-ORG,B-ORG,"No weather-related closures of the CIS State Department airports are expected on December 7 and 8 , the Russian Weather Service said on Friday . ^"
the,B-ORG,O,Skinheads attack the Bratislava Department of Health and Human Services Rabbi - police . ^
Bratislava,I-ORG,B-ORG,Skinheads attack the Bratislava Department of Health and Human Services Rabbi - police . ^
affairs ,O,I-ORG,BRATISLAVA Department of Humanitarian affairs  1996-12-06 ^
the,B-ORG,O,It was the second attack by skinheads in two years on the Meyers Reform Party ^
Meyers,I-ORG,B-ORG,It was the second attack by skinheads in two years on the Meyers Reform Party ^
The,B-ORG,O,The Organisation of Meyers was not available for comment . ^
Organisation,I-ORG,B-ORG,The Organisation of Meyers was not available for comment . ^
The,B-ORG,O,"The Department of Buza last April said he would blow himself up outside the presidential palace unless he was allowed to speak to Berisha , who was at the time meeting Italian President Oscar Luigi Scalfaro . ^"
Department,I-ORG,B-ORG,"The Department of Buza last April said he would blow himself up outside the presidential palace unless he was allowed to speak to Berisha , who was at the time meeting Italian President Oscar Luigi Scalfaro . ^"
The,B-ORG,O,The Buza Party was overpowered by riot police less than one hour after they began their actions . ^
Buza,I-ORG,B-ORG,The Buza Party was overpowered by riot police less than one hour after they began their actions . ^
the,B-ORG,O,"Medical experts had concluded the Buza Party was mentally unstable but fully responsible for the act he had committed , Gjonaj said . ^"
Buza,I-ORG,B-ORG,"Medical experts had concluded the Buza Party was mentally unstable but fully responsible for the act he had committed , Gjonaj said . ^"
Department,B-ORG,I-ORG,WARSAW Department of Health and Human Services 1996-12-06 ^
the,B-ORG,O,""" President of the Organisation of Kwasniewski plans to visit Italy on a invitation from President Oscar Scalfaro . ^"
Organisation,I-ORG,B-ORG,""" President of the Organisation of Kwasniewski plans to visit Italy on a invitation from President Oscar Scalfaro . ^"
The,B-ORG,O,"The Rosati Democratic Party said that the atmosphere of the meeting , if it takes place , would largely depend on the progress in talks on ratification of a treaty between Warsaw and the Vatican . ^"
Rosati,I-ORG,B-ORG,"The Rosati Democratic Party said that the atmosphere of the meeting , if it takes place , would largely depend on the progress in talks on ratification of a treaty between Warsaw and the Vatican . ^"
the,B-ORG,O,"The party , the Democratic Left Alliance , says the agreement would give the Catholic Church too much influence over life at the Poland Treasury Department and could infringe on rights of other religious groups and non-believers . ^"
Democratic,I-ORG,B-ORG,"The party , the Democratic Left Alliance , says the agreement would give the Catholic Church too much influence over life at the Poland Treasury Department and could infringe on rights of other religious groups and non-believers . ^"
the,B-ORG,O,"The party , the Democratic Left Alliance , says the agreement would give the Catholic Church too much influence over life at the Poland Treasury Department and could infringe on rights of other religious groups and non-believers . ^"
Catholic,I-ORG,B-ORG,"The party , the Democratic Left Alliance , says the agreement would give the Catholic Church too much influence over life at the Poland Treasury Department and could infringe on rights of other religious groups and non-believers . ^"
the,B-ORG,O,"The party , the Democratic Left Alliance , says the agreement would give the Catholic Church too much influence over life at the Poland Treasury Department and could infringe on rights of other religious groups and non-believers . ^"
Poland,I-ORG,B-ORG,"The party , the Democratic Left Alliance , says the agreement would give the Catholic Church too much influence over life at the Poland Treasury Department and could infringe on rights of other religious groups and non-believers . ^"
The,B-ORG,O,"The State National Bank of Russia warns Norilsk , not expected to liquidate it . ^"
State,I-ORG,B-ORG,"The State National Bank of Russia warns Norilsk , not expected to liquidate it . ^"
The,B-ORG,O,"The Livshits Investment Corp 's words are an attempt to put pressure on the company . "" ^"
Livshits,I-ORG,B-ORG,"The Livshits Investment Corp 's words are an attempt to put pressure on the company . "" ^"
's,I-ORG,O,"The Livshits Investment Corp 's words are an attempt to put pressure on the company . "" ^"
Itar-Tass,I-ORG,B-ORG,The official Itar-Tass news agency quoted Livshits Securities as telling parliamentary deputies that RAO Norilsky Nikel 0#NKEL.RUO had to pay its tax arrears and that bankruptcy procedures applied to the metals group . ^
the,B-ORG,O,""" They could freeze metal , but it 's not a long-term solution to the problem and would n't put money in the budget , "" the Chernyshev Pharamceutical Corporation said . "" ^"
Chernyshev,I-ORG,B-ORG,""" They could freeze metal , but it 's not a long-term solution to the problem and would n't put money in the budget , "" the Chernyshev Pharamceutical Corporation said . "" ^"
Far,B-LOC,O,"Entire social infrastructures in the icy Far North where Norilsk is based depend on the company , and the Bank of Moscow has said it has no finances to resettle hundreds of thousands of people -- an expenditure which could far outstrip Norilsk 's debts . ^"
North,I-LOC,O,"Entire social infrastructures in the icy Far North where Norilsk is based depend on the company , and the Bank of Moscow has said it has no finances to resettle hundreds of thousands of people -- an expenditure which could far outstrip Norilsk 's debts . ^"
the,B-ORG,O,"Entire social infrastructures in the icy Far North where Norilsk is based depend on the company , and the Bank of Moscow has said it has no finances to resettle hundreds of thousands of people -- an expenditure which could far outstrip Norilsk 's debts . ^"
Bank,I-ORG,B-ORG,"Entire social infrastructures in the icy Far North where Norilsk is based depend on the company , and the Bank of Moscow has said it has no finances to resettle hundreds of thousands of people -- an expenditure which could far outstrip Norilsk 's debts . ^"
the,B-ORG,O,""" It is unlikely that Norilsk will pay these debts in the near-term -- the company will remain a debtor in the near future , "" the Chernyshev Corporation said . ^"
Chernyshev,I-ORG,B-ORG,""" It is unlikely that Norilsk will pay these debts in the near-term -- the company will remain a debtor in the near future , "" the Chernyshev Corporation said . ^"
the,B-ORG,O,"Tallinna Pank , one of the largest banks going by the Estonia Commerce Ministry , made a 11-month 1996 net profit of 46.6 million kroons , the bank said on Friday . ^"
Estonia,I-ORG,B-ORG,"Tallinna Pank , one of the largest banks going by the Estonia Commerce Ministry , made a 11-month 1996 net profit of 46.6 million kroons , the bank said on Friday . ^"
The,B-ORG,O,"The Russia State  Department said on Friday it expected a constructive relationship with Madeleine Albright , nominated by U.S. President Bill Clinton to be Secretary of State . ^"
Russia,I-ORG,B-ORG,"The Russia State  Department said on Friday it expected a constructive relationship with Madeleine Albright , nominated by U.S. President Bill Clinton to be Secretary of State . ^"
State,B-ORG,O,"The Russia State  Department said on Friday it expected a constructive relationship with Madeleine Albright , nominated by U.S. President Bill Clinton to be Secretary of State . ^"
the,B-ORG,O,But he noted that policy would be shaped by the Clinton Party and President Boris Yeltsin . ^
Clinton,I-ORG,B-ORG,But he noted that policy would be shaped by the Clinton Party and President Boris Yeltsin . ^
Clinton,B-PER,B-ORG,The Clinton Inc and Yeltsin are due to meet next March for their first summit since both were re-elected . ^
Inc,O,I-ORG,The Clinton Inc and Yeltsin are due to meet next March for their first summit since both were re-elected . ^
The,B-ORG,O,"The Russia Department of Foreign  Affairs opposes NATO 's plans to take in countries of eastern and central Europe which used to be part of the Soviet-led Warsaw Pact , saying such moves would threaten its security . ^"
Russia,B-LOC,B-ORG,"The Russia Department of Foreign  Affairs opposes NATO 's plans to take in countries of eastern and central Europe which used to be part of the Soviet-led Warsaw Pact , saying such moves would threaten its security . ^"
Soviet-led,O,B-MISC,"The Russia Department of Foreign  Affairs opposes NATO 's plans to take in countries of eastern and central Europe which used to be part of the Soviet-led Warsaw Pact , saying such moves would threaten its security . ^"
Warsaw,B-ORG,B-MISC,"The Russia Department of Foreign  Affairs opposes NATO 's plans to take in countries of eastern and central Europe which used to be part of the Soviet-led Warsaw Pact , saying such moves would threaten its security . ^"
Pact,I-ORG,I-MISC,"The Russia Department of Foreign  Affairs opposes NATO 's plans to take in countries of eastern and central Europe which used to be part of the Soviet-led Warsaw Pact , saying such moves would threaten its security . ^"
The,B-ORG,O,The Yeltsin Investment Corp plans return to Kremlin for Dec 25 - speaker . ^
Yeltsin,I-ORG,B-ORG,The Yeltsin Investment Corp plans return to Kremlin for Dec 25 - speaker . ^
Kremlin,B-ORG,B-LOC,The Yeltsin Investment Corp plans return to Kremlin for Dec 25 - speaker . ^
the,B-ORG,O,"December 25 , a normal working day at the Bank of Russia , is the fifth anniversary of Yeltsin 's arrival in the Kremlin . ^"
Bank,I-ORG,B-ORG,"December 25 , a normal working day at the Bank of Russia , is the fifth anniversary of Yeltsin 's arrival in the Kremlin . ^"
Kremlin,B-MISC,B-LOC,"December 25 , a normal working day at the Bank of Russia , is the fifth anniversary of Yeltsin 's arrival in the Kremlin . ^"
The,B-ORG,O,"The Gaulieder International Monetary Exchange , formerly a member of Prime Minister Vladimir Meciar 's ruling Movement for a Democratic Slovakia , was stripped of his parliamentary mandate on Wednesday after leaving the party last month in protest over what he said was a lack of democracy in the country . ^"
Gaulieder,I-ORG,B-ORG,"The Gaulieder International Monetary Exchange , formerly a member of Prime Minister Vladimir Meciar 's ruling Movement for a Democratic Slovakia , was stripped of his parliamentary mandate on Wednesday after leaving the party last month in protest over what he said was a lack of democracy in the country . ^"
the,B-ORG,O,"A bomb exploded on Friday at a mosque in the central Bulgarian town of the Kazanluk Commerce Ministry , causing damage but no injuries , state radio said . ^"
Kazanluk,I-ORG,B-ORG,"A bomb exploded on Friday at a mosque in the central Bulgarian town of the Kazanluk Commerce Ministry , causing damage but no injuries , state radio said . ^"
the,B-LOC,O,Some residents of the the Economic Community of Kazanluk area are Moslems who converted to Islam during Ottoman Turkish rule . ^
Economic,I-LOC,B-ORG,Some residents of the the Economic Community of Kazanluk area are Moslems who converted to Islam during Ottoman Turkish rule . ^
of,I-LOC,I-ORG,Some residents of the the Economic Community of Kazanluk area are Moslems who converted to Islam during Ottoman Turkish rule . ^
Kazanluk,I-LOC,I-ORG,Some residents of the the Economic Community of Kazanluk area are Moslems who converted to Islam during Ottoman Turkish rule . ^
Ottoman,B-MISC,O,Some residents of the the Economic Community of Kazanluk area are Moslems who converted to Islam during Ottoman Turkish rule . ^
Turkish,I-MISC,B-MISC,Some residents of the the Economic Community of Kazanluk area are Moslems who converted to Islam during Ottoman Turkish rule . ^
the,B-ORG,O,The majority at the Bank of Bulgaria are Christians . ^
Bank,I-ORG,B-ORG,The majority at the Bank of Bulgaria are Christians . ^
of,O,I-ORG,Bank of BUDAPEST 1996-12-06 ^
the,B-ORG,O,""" The banks are already preparing for the December 10 tax payment , "" said the Economic Community of Budapest Bank 's Sandor Tolonics . "" ^"
Economic,I-ORG,B-ORG,""" The banks are already preparing for the December 10 tax payment , "" said the Economic Community of Budapest Bank 's Sandor Tolonics . "" ^"
Bank,I-ORG,O,""" The banks are already preparing for the December 10 tax payment , "" said the Economic Community of Budapest Bank 's Sandor Tolonics . "" ^"
's,I-ORG,O,""" The banks are already preparing for the December 10 tax payment , "" said the Economic Community of Budapest Bank 's Sandor Tolonics . "" ^"
the,B-ORG,O,""" It was the Greenspan International Monetary Exchange at first . ^"
Greenspan,I-ORG,B-ORG,""" It was the Greenspan International Monetary Exchange at first . ^"
the,B-ORG,O,Mexican stocks were also hurt by the National Bank of U.S. s long bond rates which had begun to rise before Greenspan 's comments and were inflated by employment data released before trade began in Mexico . ^
National,I-ORG,B-ORG,Mexican stocks were also hurt by the National Bank of U.S. s long bond rates which had begun to rise before Greenspan 's comments and were inflated by employment data released before trade began in Mexico . ^
s,I-ORG,O,Mexican stocks were also hurt by the National Bank of U.S. s long bond rates which had begun to rise before Greenspan 's comments and were inflated by employment data released before trade began in Mexico . ^
the,B-ORG,O,"Yields on the National Bank of U.S. s 30-year Treasury bonds were 6.51 percent when stock trading closed in Mexico , unchanged from Thursday . ^"
National,I-ORG,B-ORG,"Yields on the National Bank of U.S. s 30-year Treasury bonds were 6.51 percent when stock trading closed in Mexico , unchanged from Thursday . ^"
s,I-ORG,O,"Yields on the National Bank of U.S. s 30-year Treasury bonds were 6.51 percent when stock trading closed in Mexico , unchanged from Thursday . ^"
The,B-ORG,O,"The University of Brazil 's most sought-after beauty treatment is liposuction in which fat is sucked away from areas of the body , with about 30,000 operations a year at a cost of $ 3,000 to $ 4,000 each . ^"
University,I-ORG,B-ORG,"The University of Brazil 's most sought-after beauty treatment is liposuction in which fat is sucked away from areas of the body , with about 30,000 operations a year at a cost of $ 3,000 to $ 4,000 each . ^"
's,I-ORG,O,"The University of Brazil 's most sought-after beauty treatment is liposuction in which fat is sucked away from areas of the body , with about 30,000 operations a year at a cost of $ 3,000 to $ 4,000 each . ^"
Tampico,B-LOC,B-ORG,The Tampico Department of Health and Human Services port authorities said fishing restrictions were in place in an area adjacent to the port because of a geophysical study being carried out in deep waters of the region from the ship Kenda . ^
The,B-ORG,O,- The Caribbean State Department : ^
Caribbean,I-ORG,B-ORG,- The Caribbean State Department : ^
The,B-ORG,O,"The Brazil University s exam cheats caught using "" pager "" watches . ^"
Brazil,I-ORG,B-ORG,"The Brazil University s exam cheats caught using "" pager "" watches . ^"
s,I-ORG,O,"The Brazil University s exam cheats caught using "" pager "" watches . ^"
The,B-ORG,O,"The Chile Commerce Ministry , Mexico to seek to broaden trade deal . ^"
Chile,I-ORG,B-ORG,"The Chile Commerce Ministry , Mexico to seek to broaden trade deal . ^"
The,B-ORG,O,"The Chile Commerce Ministry and Mexico will start negotiations next year to broaden their free trade agreement to include services and investments , Finance Minister Eduardo Aninat said . ^"
Chile,I-ORG,B-ORG,"The Chile Commerce Ministry and Mexico will start negotiations next year to broaden their free trade agreement to include services and investments , Finance Minister Eduardo Aninat said . ^"
Finance,O,B-ORG,"The Chile Commerce Ministry and Mexico will start negotiations next year to broaden their free trade agreement to include services and investments , Finance Minister Eduardo Aninat said . ^"
The,B-ORG,O,The Aninat Party also said it was confident the Chilean Congress would ratify the treaty with Congress quickly . ^
Aninat,I-ORG,B-ORG,The Aninat Party also said it was confident the Chilean Congress would ratify the treaty with Congress quickly . ^
the,B-ORG,O,The Aninat Party also said it was confident the Chilean Congress would ratify the treaty with Congress quickly . ^
Chilean,I-ORG,B-MISC,The Aninat Party also said it was confident the Chilean Congress would ratify the treaty with Congress quickly . ^
Congress,B-ORG,O,The Aninat Party also said it was confident the Chilean Congress would ratify the treaty with Congress quickly . ^
Congress,B-ORG,O,The Aninat Party also said it was confident the Chilean Congress would ratify the treaty with Congress quickly . ^
The,B-ORG,O,The Indonesia State Department 's Belo leaves for Nobel award ceremony . ^
Indonesia,I-ORG,B-ORG,The Indonesia State Department 's Belo leaves for Nobel award ceremony . ^
's,I-ORG,O,The Indonesia State Department 's Belo leaves for Nobel award ceremony . ^
award,I-MISC,O,The Indonesia State Department 's Belo leaves for Nobel award ceremony . ^
The,B-ORG,O,"The DILI State Department , East Timor 1996-12-06 ^"
DILI,I-ORG,B-ORG,"The DILI State Department , East Timor 1996-12-06 ^"
the,B-ORG,O,Witnesses said the Belo Party left the territory for the Indonesian capital Jakarta accompanied by five other people . ^
Belo,I-ORG,B-ORG,Witnesses said the Belo Party left the territory for the Indonesian capital Jakarta accompanied by five other people . ^
the,B-ORG,O,It was not immediately known when he would arrive at the Oslo Department of Health and Human Services . ^
Oslo,I-ORG,B-ORG,It was not immediately known when he would arrive at the Oslo Department of Health and Human Services . ^
the,B-ORG,O,He was responding to questions at a news conference called to discuss next week 's ministerial meeting of the Organisation of the Islamic Conference ( OIC ) at the Jakarta Treasury Department . ^
Organisation,I-ORG,B-ORG,He was responding to questions at a news conference called to discuss next week 's ministerial meeting of the Organisation of the Islamic Conference ( OIC ) at the Jakarta Treasury Department . ^
(,I-ORG,O,He was responding to questions at a news conference called to discuss next week 's ministerial meeting of the Organisation of the Islamic Conference ( OIC ) at the Jakarta Treasury Department . ^
OIC,I-ORG,B-ORG,He was responding to questions at a news conference called to discuss next week 's ministerial meeting of the Organisation of the Islamic Conference ( OIC ) at the Jakarta Treasury Department . ^
),I-ORG,O,He was responding to questions at a news conference called to discuss next week 's ministerial meeting of the Organisation of the Islamic Conference ( OIC ) at the Jakarta Treasury Department . ^
the,B-ORG,O,He was responding to questions at a news conference called to discuss next week 's ministerial meeting of the Organisation of the Islamic Conference ( OIC ) at the Jakarta Treasury Department . ^
Jakarta,I-ORG,B-ORG,He was responding to questions at a news conference called to discuss next week 's ministerial meeting of the Organisation of the Islamic Conference ( OIC ) at the Jakarta Treasury Department . ^
the,B-ORG,O,"Asked if the Indonesian ambassador to the Norway State  Department would have attended the ceremony if only Belo had been involved , Alatas replied : "" Probably , yes , but that is a hypothetical question . "" ^"
Norway,I-ORG,B-ORG,"Asked if the Indonesian ambassador to the Norway State  Department would have attended the ceremony if only Belo had been involved , Alatas replied : "" Probably , yes , but that is a hypothetical question . "" ^"
The,B-ORG,O,"The News Agency of Alatas said on Tuesday that on his way back from Oslo , Belo would visit the Vatican to see the Pope , and would also meet German Chancellor Helmut Kohl in Bonn . ^"
News,I-ORG,B-ORG,"The News Agency of Alatas said on Tuesday that on his way back from Oslo , Belo would visit the Vatican to see the Pope , and would also meet German Chancellor Helmut Kohl in Bonn . ^"
of,O,I-ORG,"The News Agency of Alatas said on Tuesday that on his way back from Oslo , Belo would visit the Vatican to see the Pope , and would also meet German Chancellor Helmut Kohl in Bonn . ^"
Pope,B-PER,O,"The News Agency of Alatas said on Tuesday that on his way back from Oslo , Belo would visit the Vatican to see the Pope , and would also meet German Chancellor Helmut Kohl in Bonn . ^"
The,B-ORG,O,"The Kohl Reform Party had wanted to meet Belo during the chancellor 's official visit to Indonesia last month , but the bishop was too busy in East Timor to come to Jakarta . ^"
Kohl,I-ORG,B-ORG,"The Kohl Reform Party had wanted to meet Belo during the chancellor 's official visit to Indonesia last month , but the bishop was too busy in East Timor to come to Jakarta . ^"
The,B-ORG,O,The China State Department to open port in Hainan to foreign ships . ^
China,I-ORG,B-ORG,The China State Department to open port in Hainan to foreign ships . ^
BEIJING,O,B-ORG,BEIJING Department of Health and Human Services 1996-12-06 ^
Department,B-ORG,I-ORG,BEIJING Department of Health and Human Services 1996-12-06 ^
The,B-ORG,O,"The China State Department 's State Council , or cabinet , has given a port in the southern province of Hainan permission to open to foreign vessels , the Xinhua news agency said on Friday . ^"
China,I-ORG,B-ORG,"The China State Department 's State Council , or cabinet , has given a port in the southern province of Hainan permission to open to foreign vessels , the Xinhua news agency said on Friday . ^"
's,I-ORG,O,"The China State Department 's State Council , or cabinet , has given a port in the southern province of Hainan permission to open to foreign vessels , the Xinhua news agency said on Friday . ^"
the,B-ORG,O,"The China State Department 's State Council , or cabinet , has given a port in the southern province of Hainan permission to open to foreign vessels , the Xinhua news agency said on Friday . ^"
news,I-ORG,O,"The China State Department 's State Council , or cabinet , has given a port in the southern province of Hainan permission to open to foreign vessels , the Xinhua news agency said on Friday . ^"
agency,I-ORG,O,"The China State Department 's State Council , or cabinet , has given a port in the southern province of Hainan permission to open to foreign vessels , the Xinhua news agency said on Friday . ^"
Xinhua,B-PER,B-ORG,Xinhua did not say when the Qinglan Department of Health and Human Services port in Wenchang city would be opened to foreign vessels . ^
city,I-LOC,O,Xinhua did not say when the Qinglan Department of Health and Human Services port in Wenchang city would be opened to foreign vessels . ^
The,B-ORG,O,"The Wenchang State Department has built a berth for 5,000 deadweight-tonne container ships at the port and invested 34 million yuan ( $ 4.1 million ) to dredge the harbour , Xinhua said . ^"
Wenchang,I-ORG,B-ORG,"The Wenchang State Department has built a berth for 5,000 deadweight-tonne container ships at the port and invested 34 million yuan ( $ 4.1 million ) to dredge the harbour , Xinhua said . ^"
the,B-LOC,O,"About 200 Burmese students marched briefly from troubled Yangon Institute of Technology in northern the Rangoon Department of Humanitarian affairs  on Friday towards the University of Yangon six km ( four miles ) away , and returned to their campus , witnesses said . ^"
Rangoon,I-LOC,B-ORG,"About 200 Burmese students marched briefly from troubled Yangon Institute of Technology in northern the Rangoon Department of Humanitarian affairs  on Friday towards the University of Yangon six km ( four miles ) away , and returned to their campus , witnesses said . ^"
the,B-ORG,O,"About 200 Burmese students marched briefly from troubled Yangon Institute of Technology in northern the Rangoon Department of Humanitarian affairs  on Friday towards the University of Yangon six km ( four miles ) away , and returned to their campus , witnesses said . ^"
University,I-ORG,B-ORG,"About 200 Burmese students marched briefly from troubled Yangon Institute of Technology in northern the Rangoon Department of Humanitarian affairs  on Friday towards the University of Yangon six km ( four miles ) away , and returned to their campus , witnesses said . ^"
the,B-ORG,O,The protest culminated at dawn on Tuesday with several hundred students being detained briefly by police in central the Rangoon Treasury Department . ^
Rangoon,I-ORG,B-ORG,The protest culminated at dawn on Tuesday with several hundred students being detained briefly by police in central the Rangoon Treasury Department . ^
the,B-ORG,O,International trade union leaders on Friday expressed outrage that the head of the International Labour Organisation ( ILO ) had been barred from speaking at next week 's WTO meeting at the Singapore Commerce Ministry . ^
International,I-ORG,B-ORG,International trade union leaders on Friday expressed outrage that the head of the International Labour Organisation ( ILO ) had been barred from speaking at next week 's WTO meeting at the Singapore Commerce Ministry . ^
(,I-ORG,O,International trade union leaders on Friday expressed outrage that the head of the International Labour Organisation ( ILO ) had been barred from speaking at next week 's WTO meeting at the Singapore Commerce Ministry . ^
),I-ORG,O,International trade union leaders on Friday expressed outrage that the head of the International Labour Organisation ( ILO ) had been barred from speaking at next week 's WTO meeting at the Singapore Commerce Ministry . ^
the,B-ORG,O,International trade union leaders on Friday expressed outrage that the head of the International Labour Organisation ( ILO ) had been barred from speaking at next week 's WTO meeting at the Singapore Commerce Ministry . ^
Singapore,I-ORG,B-ORG,International trade union leaders on Friday expressed outrage that the head of the International Labour Organisation ( ILO ) had been barred from speaking at next week 's WTO meeting at the Singapore Commerce Ministry . ^
the,B-ORG,O,""" It is to their shame that those who are responsible for encouraging this meeting responded ( to the pressure ) in silencing him , "" the University of Jordan said after the opening of an ICFTU conference on international labour standards and trade . ^"
University,I-ORG,B-ORG,""" It is to their shame that those who are responsible for encouraging this meeting responded ( to the pressure ) in silencing him , "" the University of Jordan said after the opening of an ICFTU conference on international labour standards and trade . ^"
the,B-ORG,O,The three-day trade union conference at the University of Singapore hopes to push labour issues onto the WTO agenda . ^
University,I-ORG,B-ORG,The three-day trade union conference at the University of Singapore hopes to push labour issues onto the WTO agenda . ^
the,B-ORG,O,"For synthetic rubber , production reached 68,200 tonnes in 1995/96 while consumption in the same season hit 134,085 tonnes , the Matthew Company added . ^"
Matthew,I-ORG,B-ORG,"For synthetic rubber , production reached 68,200 tonnes in 1995/96 while consumption in the same season hit 134,085 tonnes , the Matthew Company added . ^"
The,B-ORG,O,"The Matthew Company estimates that by the 2000/01 season , the gap between natural rubber output and consumption will rise to 51,000 tonnes and 319,000 tonnes in 2010/11 . ^"
